store,year_month,dwt,source,recorded_at
CUL,2025-01,194.8127,backfill-2026-07-27,2026-07-27T16:15:44.748918
CUL,2025-02,135.159,backfill-2026-07-27,2026-07-27T16:15:44.748928
CUL,2025-03,167.3624,backfill-2026-07-27,2026-07-27T16:15:44.748929
CUL,2025-04,257.2753,backfill-2026-07-27,2026-07-27T16:15:44.748931
CUL,2025-05,245.6777,backfill-2026-07-27,2026-07-27T16:15:44.748932
CUL,2025-06,177.2912,backfill-2026-07-27,2026-07-27T16:15:44.748933
CUL,2025-07,201.6761,backfill-2026-07-27,2026-07-27T16:15:44.748934
CUL,2025-08,165.8057,backfill-2026-07-27,2026-07-27T16:15:44.748935
CUL,2025-09,212.6178,backfill-2026-07-27,2026-07-27T16:15:44.748936
CUL,2025-10,231.9014,backfill-2026-07-27,2026-07-27T16:15:44.748937
CUL,2025-11,263.0158,backfill-2026-07-27,2026-07-27T16:15:44.748938
CUL,2025-12,217.7825,backfill-2026-07-27,2026-07-27T16:15:44.748939
CUL,2026-06,276.646,backfill-2026-07-27,2026-07-27T16:15:44.748940
HAR,2025-01,81.1052,backfill-2026-07-27,2026-07-27T16:15:44.748941
HAR,2025-02,76.045,backfill-2026-07-27,2026-07-27T16:15:44.748942
HAR,2025-03,139.3869,backfill-2026-07-27,2026-07-27T16:15:44.748943
HAR,2025-04,58.2776,backfill-2026-07-27,2026-07-27T16:15:44.748944
HAR,2025-05,54.3225,backfill-2026-07-27,2026-07-27T16:15:44.748945
HAR,2025-06,113.4314,backfill-2026-07-27,2026-07-27T16:15:44.748947
HAR,2025-07,68.4128,backfill-2026-07-27,2026-07-27T16:15:44.748948
HAR,2025-08,115.4961,backfill-2026-07-27,2026-07-27T16:15:44.748949
HAR,2025-09,96.3641,backfill-2026-07-27,2026-07-27T16:15:44.748950
HAR,2025-10,135.2262,backfill-2026-07-27,2026-07-27T16:15:44.748951
HAR,2025-11,54.1421,backfill-2026-07-27,2026-07-27T16:15:44.748952
HAR,2025-12,151.2028,backfill-2026-07-27,2026-07-27T16:15:44.748953
HAR,2026-06,153.1352,backfill-2026-07-27,2026-07-27T16:15:44.748954
LEX,2025-01,41.4654,backfill-2026-07-27,2026-07-27T16:15:44.748955
LEX,2025-02,57.6256,backfill-2026-07-27,2026-07-27T16:15:44.748956
LEX,2025-03,30.775,backfill-2026-07-27,2026-07-27T16:15:44.748957
LEX,2025-04,34.5596,backfill-2026-07-27,2026-07-27T16:15:44.748958
LEX,2025-05,107.462,backfill-2026-07-27,2026-07-27T16:15:44.748959
LEX,2025-06,26.7,backfill-2026-07-27,2026-07-27T16:15:44.748961
LEX,2025-07,116.4338,backfill-2026-07-27,2026-07-27T16:15:44.748963
LEX,2025-08,63.8728,backfill-2026-07-27,2026-07-27T16:15:44.748964
LEX,2025-09,138.9348,backfill-2026-07-27,2026-07-27T16:15:44.748965
LEX,2025-10,21.8,backfill-2026-07-27,2026-07-27T16:15:44.748966
LEX,2025-11,61.4252,backfill-2026-07-27,2026-07-27T16:15:44.748967
LEX,2025-12,108.1848,backfill-2026-07-27,2026-07-27T16:15:44.748968
LEX,2026-06,65.0657,backfill-2026-07-27,2026-07-27T16:15:44.748969
ROA,2025-01,60.7312,backfill-2026-07-27,2026-07-27T16:15:44.748970
ROA,2025-02,20.9027,backfill-2026-07-27,2026-07-27T16:15:44.748971
ROA,2025-03,28.7663,backfill-2026-07-27,2026-07-27T16:15:44.748972
ROA,2025-04,64.9642,backfill-2026-07-27,2026-07-27T16:15:44.748973
ROA,2025-05,234.803,backfill-2026-07-27,2026-07-27T16:15:44.748974
ROA,2025-06,58.8473,backfill-2026-07-27,2026-07-27T16:15:44.748975
ROA,2025-07,111.8324,backfill-2026-07-27,2026-07-27T16:15:44.748976
ROA,2025-08,62.3857,backfill-2026-07-27,2026-07-27T16:15:44.748977
ROA,2025-09,108.5304,backfill-2026-07-27,2026-07-27T16:15:44.748978
ROA,2025-10,108.2866,backfill-2026-07-27,2026-07-27T16:15:44.748979
ROA,2025-11,138.7008,backfill-2026-07-27,2026-07-27T16:15:44.748980
ROA,2025-12,212.4521,backfill-2026-07-27,2026-07-27T16:15:44.748981
ROA,2026-06,154.9694,backfill-2026-07-27,2026-07-27T16:15:44.748982
WAY,2025-01,137.6402,backfill-2026-07-27,2026-07-27T16:15:44.748983
WAY,2025-02,75.9615,backfill-2026-07-27,2026-07-27T16:15:44.748984
WAY,2025-03,82.0779,backfill-2026-07-27,2026-07-27T16:15:44.748985
WAY,2025-04,100.4,backfill-2026-07-27,2026-07-27T16:15:44.748986
WAY,2025-05,149.7988,backfill-2026-07-27,2026-07-27T16:15:44.748987
WAY,2025-06,65.5624,backfill-2026-07-27,2026-07-27T16:15:44.748988
WAY,2025-07,97.8789,backfill-2026-07-27,2026-07-27T16:15:44.748989
WAY,2025-08,64.78,backfill-2026-07-27,2026-07-27T16:15:44.748990
WAY,2025-09,31.0552,backfill-2026-07-27,2026-07-27T16:15:44.748991
WAY,2025-10,122.1749,backfill-2026-07-27,2026-07-27T16:15:44.748992
WAY,2025-11,109.1293,backfill-2026-07-27,2026-07-27T16:15:44.748993
WAY,2025-12,101.9654,backfill-2026-07-27,2026-07-27T16:15:44.748994
WAY,2026-06,158.4738,backfill-2026-07-27,2026-07-27T16:15:44.748995
HAR,2026-07,0.0,job_gold_trend,2026-08-01T09:00:08.692842
LEX,2026-07,65.0657,job_gold_trend,2026-08-01T09:00:08.692869
ROA,2026-07,0.0,job_gold_trend,2026-08-01T09:00:08.692879
